ababa	a bab a
azo	a zo
azobuye	a zo buy e
azokuba	a zo ku b a
azokubamba	a zo ku bamb a
azokusiza	a zo ku siz a
azolutshela	a zo lu tshel a
azombulala	a zo m bulal a
azomenza	a zo m enz a
azomkhulekela	a zo m khul ek el a
azongena	a zo ngen a
azophumela	a zo phum el a
azowakhuluma	a zo wa khulum a
azozikhunga	a zo zi khung a
azozithosela	a zo zi thos el a
azoziwashela	a zo zi wash el a
azumeke	a zum ek e
azwakale	a zw akal e
baba	b a b a, ba b a, baba
bababaze	ba ba baz e
babambana	ba bamb an a
babazi	ba b azi
babebathole	ba be ba thol e
babebuza	ba be buz a
babecabanga	b a be cabang a
babegqigqizela	b a be gqigqiz el a
babehamba	ba be hamb a
babekhathele	ba be khathel e
babekhona	b a be kho na
babekhuluma	ba be khulum a
babekhulumela	b a be khulum el a
babelungu	b a be lungu
babembiza	ba be m biz a
babemshaya	b a be m shay a
babemvakashela	ba be m vakash el a
babenendlela	ba be n e n dlela
babenezikhowe	ba be n e zi khowe
babengahambile	ba be nga hamb ile
babengakabi	b a be nga ka b i
babengamkhohlwa	b a be nga m khohl w a, ba be nga m khohl w a
babengaphuthi	b a be nga phuth i
babengasakutholi	ba be nga sa ku thol i
babengasasithakaseli	ba be nga sa si thakas el i
babengazi	ba be ng azi
babengcolise	ba be ngcol is e
babengcolisile	b a be ngcol is ile
babengena	b a be ngen a
babengenakulokotha	ba be nge na ku lokoth a
babengobani	ba be ng o bani
babephilisa	ba be phil is a
babeqonda	ba be qond a
babesazoyicubungula	ba be sa zo yi cubungul a
babesebenzisa	b a be sebenz is a
babesho	ba be sho
babesusela	ba be sus el a
babethi	ba be thi
babevamise	b a be vam is e
babeyibuke	b a be yi buk e
babeyogcina	b a be yo gcin a
babeze	ba be z e
babezikhalela	b a be zi khal el a
babezozwa	ba be zo zw a
babhekana	ba bhek an a
babhekane	ba bhek an e
babheke	ba bhek e
babhinca	ba bhinc a
babika	ba bik a
babikelwani	ba bik el w a ni
babo	ba bo
babona	b a bon a, ba bon a
babone	ba bon e
babonile	ba bon ile
babukana	b a buk an a
babuke	ba buk e
babukhona	b a bu kho na
