ababa	a bab a
esethanda	e se thand a
esethandazelwe	e se thandaz el w e
esethandile	e se thand ile
esethi	e se thi
esethule	e se thul e
esevule	e se vul e
esevumile	e se vum ile
esewatholile	e se wa thol ile
esewubambile	e se wu bamb ile
esewuphethe	e se wu pheth e
esewuqaqile	e se wu qaq ile
esexola	e se xol a
esexolisa	e se xol is a
esexoshwe	e se xosh w e
eseyedwa	e se ye dwa
eseyehlinzwa	e se ye hlinz w a
eseyibekaphi	e se yi bek a phi
eseyibukisisa	e se yi buk isis a
eseyicula	e se yi cul a
eseyigaye	e se yi gay e
eseyilobile	e se yi lob ile
eseyimnika	e se yi m nik a
eseyindoda	e se y i n doda
eseyini	e se yi ni
eseyiqedile	e se yi qed ile
eseyobheka	e se yo bhek a
eseza	e s ez a
esezazi	e se z azi
esezibika	e se zi bik a
esezihudula	e se zi hudul a
esezisebenza	e se zi sebenz a
esezitubela	e se zi tub el a
esezizwa	e se zi zw a
esezowabuka	e se zo wa buk a
esezwa	e se zw a
eshadayo	e shad a yo
eshalushaluza	e shalushaluz a
eshaluzisa	e shaluz is a
eshaya	e shay a
eshaye	e shay e
eshayela	e shay el a
eshaywa	e shay w a
eshaywe	e shay w e
eshefa	e shef a
eshela	e shel a
esheshe	e shesh e
eshinga	e shing a
eshisiwe	e shis iw e
eshiye	e shiy e
eshiywe	e shiy w e
esho	e sho
eshona	e shon a
esibabayo	e si bab a yo
esibayeni	e si bay eni
esibhedlela	e si bhedlela
esibonakalayo	e si bon akal a yo
esibozini	e si boz ini
esibucayi	e si bucayi
esibukekayo	e si buk ek a yo
esicabheni	e si cabh eni
esicathama	e si catham a
eside	e si de
esifana	e si fan a
esifubeni	e si fub eni
esifudumezi	e si fudumezi
esigabeni	e si gab eni
esigelezela	e si gelez el a
esigqikini	e si gqik ini
esihamba	e si hamb a
esihambini	e si hamb ini
esihlahleni	e si hlahl eni
esihleli	e si hlel i
esihlezii	e si hlezi i
esihosheni	e si hosh eni
esika	e sik a
esikhaleni	e si khal eni
esikholwayo	e si khol w a yo
esikhotheni	e si khoth eni
esikhulile	e si khul ile, e si khulil e
esikhulu	e si khulu
esikhundleni	e si khundl eni
esikhuntile	e si khunt ile
esikhwameni	e si khwam eni
esikhwebezi	e si khwebezi
esiklebheni	e si klebh eni
esikole	e si kole
esikoleni	e si kol eni
esikorokorweni	e si korokorw eni
esilaheni	e si lah eni
esiliva	e siliva
esilungwini	e si lungw ini
esiminyaminyeni	e si minyaminy eni
esimnandi	e si mnandi
esimphethe	e si m pheth e
esimweni	e si mw eni
esinalo	e si na lo
esinamandla	e si n a ma ndla
esineke	e sinek e
esingajwayelekile	e si nga jwayel ek ile
esingalali	e si nga lal i
esingaphambili	e si nga phambili
esingatheni	e si ngath eni
esingavamile	e si nga vam ile
esingawazi	e si nga waz i
esingenamkhuba	e si nge na m khuba
esinguninakhulu	e si ng u nina khulu
esinjani	e si njani
esinkokoshele	e si nkokosh el e
esinobhanana	e si n o bhanana
esinqabile	e si nqab ile
esinxeleni	e si nxel eni
esinye	e si nye
esiphakeme	e si phakem e
esiqhamuka	e si qhamuk a
esiqhimuqhimini	e si qhimuqhim ini
esiqondene	e si qond en e
esiqosheme	e si qoshem e
esisiza	e si siz a
esisodwa	e si so dwa
esiswini	e si sw ini
esiteshini	e si tesh ini
esitheshini	e si thesh ini
esithethisa	e si theth is a
esithi	e si thi
esithumelele	e si thumel el e
esitimeleni	e si timel eni
esitolo	e si tolo
esitshela	e si tshel a
esivuthayo	e si vuth a yo
esiwuqhotho	e si w u qhotho
esiya	e si y a
esiyedelelisa	e si yedelel is a
esiyidlelo	e si y i dl el o
esiyomfica	e si yo m fic a
esizwa	e siz w a
esizweni	e si zw eni
eslangspruit	e slangspruit
esokhambeni	e s o khamb eni
esondela	e sondel a
esondelene	e sondel en e
esontayo	e sont a yo
esuka	e suk a
esuke	e suk e
esukoti	e sukoti
esukuma	e sukum a
esule	e sul e
etafuleni	e taful eni
etahati	e tahati
ethanda	e thand a
ethandile	e thand ile
ethatha	e thath a
ethe	e th e
ethekwini	e thekw ini
ethenga	e theng a
ethengela	e theng el a
ethengisa	e theng is a
ethethisana	e theth is an a
ethi	e thi
ethini	e thi ni
ethola	e thol a
ethuka	e thuk a
ethuke	e thuk e
ethukile	e thuk ile
ethule	e thul e
etsheliwe	e tshel iw e
etshelwa	e tshel w a
etsheni	e tsh eni
etshwaleni	e tshwal eni
evakashele	e vakashel e
evamisile	e vamis ile
evela	e vel a
evulekile	e vul ek ile
ewabheka	e wa bhek a
ewadini	e wad ini
ewahlukanisela	e wa hlukan is el a
ewashini	e wash ini
ewedlulisela	e w edlul is el a
ewindini	e wind ini
ewu	e w u
ewudweba	e wu dweb a
ewukuthuthuka	e w u ku thuthuk a
ewusa	e wu s a
exhibeni	e xhib eni
exobho	e xobho
exoshana	e xosh an a
exoxa	e xox a
exoxwayo	e xox w a yo
eya	e y a
eyabe	e y a be
eyafaka	e ya fak a
eyagcwala	e ya gcwal a
eyahlukene	e y a hluk en e, e y ahluken e
eyakithi	e ya ki thi
eyala	e y al a
eyamxaka	e y a m xak a
eyangihluphayo	e ya ngi hluph a yo
eyase	e y a se
eyasemini	e ya se mini
eyaxosha	e y a xosh a
eyayenziwa	e y a y enz iw a
eyayiba	e y a yi b a
eyayifika	e y a yi fik a
eyayifikile	e y a yi fik ile, e y a yi fikil e, e ya yi fik ile
eyayihamba	e ya yi hamb a
eyayihlala	e y a yi hlal a
eyayikusho	e y a yi ku sho
eyayimqeda	e y a yi m qed a
eyayinele	e y a yi nele
eyayisalindelekile	e y a yi sa lind el ek ile
eyayizobaphilisa	e y a yi zo ba phil is a
eyayizosala	e y a yi zo sal a
eyazi	e y azi
eyedwa	e ye dwa
eyehlayo	e y ehl a yo
eyeka	e yek a
eyengamele	e ye nga m el e
eyenza	e y enz a
eyenzekile	e y enz ek ile
eyenziwayo	e y enz iw a yo
eyezitha	e y e zi tha
eyi	e yi
eyibiza	e yi biz a
eyiceke	e yi cek e
eyifihle	e yi fihl e
eyikhumbula	e yi khumbul a
eyilalela	e yi lalel a
eyilithemba	e yi li themb a
eyindoda	e y i n doda
eyingozi	e y i n gozi
eyinyanga	e y i nyanga
eyiqeda	e yi qed a
eyishumi	e y i shumi
eyisinaphungana	e yi s i na phung ana
eyisithupha	e y i si thupha
eyithulisa	e y ithul is a
eyitshela	e yi tshel a
eyiyeka	e yi yek a
eyobathatha	e yo ba thath a
eyodwa	e yo dwa
eyohlaba	e yo hlab a
eyokuya	e yo ku y a
eyolubeka	e yo lu bek a
eyongena	e yo ngen a
ezaba	e z ab a
ezahlukene	e z ahluk en e
ezahlukweni	e z ahluk w eni
ezakhe	e z akh e, e z akhe
ezama	e zam a
ezansi	e zansi
ezase	e z a se
ezasegugwini	e za se gugw ini
ezasephusheni	e za se phush eni
ezashaya	e z a shay a
ezathintwa	e z a thint w a
ezayo	e z a yo
ezazilotshwe	e z a zi lotsh w e, e z a zi lotshw e
eze	e z e
ezelwe	e zel w e
ezemisebenzi	e z e mi sebenz i
ezenziwa	e z enz iw a
ezibambelele	e zi bambelel e
eziboshwe	e zi bosh w e
ezibuhlaza	e zi bu hlaz a
ezibukela	e zi bukel a
ezibuko	e zi buk o
ezicabanga	e zi cabang a
ezichweni	e zi chw eni
ezicijile	e zi cij ile
ezidabukela	e zi dabukel a
ezidlulayo	e zi dlul a yo
ezidonsa	e zi dons a
ezifana	e zi fan a
ezigangayo	e zi gang a yo
ezigcwele	e zi gcwel e
eziguli	e zi gul i
ezigxumela	e zi gxum el a
ezihlahleni	e zi hlahl eni
ezihlalele	e zi hlal el e
ezihlathini	e zi hlath ini
ezijwayelekile	e zi jwayel ek ile
ezikhalini	e zi khal ini
ezikhathaza	e zi khathaz a
ezikhona	e zi kho na
ezikhumbuzo	e zi khumbuz o
ezikhwameni	e zi khwam eni
eziko	e ziko
ezikoleni	e zi kol eni
ezikwenzayo	e zi kw enz a yo
ezilile	e zi lil e
eziluhlaza	e zi luhlaza
ezilukhuni	e zi lukhuni
ezimbi	e zim bi
ezimbili	e zim bili
ezimboze	e zi mboz e
ezimbusisayo	e zi m busis a yo
ezimhlophe	e zi mhlophe
ezimnyama	e zi mnyama
ezincoma	e zi ncom a
ezincwadini	e zi ncwad ini
ezindadlana	e zin dadl ana
ezindlini	e zi ndl ini
ezinesibindi	e zi n e si bindi
ezingabalelwa	e zi ngabalel w a
ezingaboni	e zi nga bon i
ezinganeni	e zin gan eni
ezingangani	e zi nga ngani
ezingaphandle	e zi nga phandle
ezingcwele	e zi ngcwel e
ezingenamsebenzi	e zi nge na m sebenz i
ezinhlamvini	e zin hlamv ini
ezinhle	e zin hle
ezinhlungwini	e zin hlungw ini
eziningi	e zi ningi
ezinkomponi	e zin komponi
ezinkulu	e zin kulu
ezinqola	e zin qola
ezinqoleni	e zin qol eni
ezinsizweni	e zi nsizw eni
ezinsuku	e zin suku
ezintabeni	e zin tab eni
ezinye	e zi nye
eziphambi	e zi phambi
eziphendula	e zi phendul a
eziphethe	e zi pheth e
eziphikisa	e zi phik is a
eziphuzile	e zi phuz ile
eziqwini	e zi qw ini
ezisazinyoni	e zi sa zi nyoni
ezisencane	e zi se ncane
ezisola	e zi sol a
ezitebhisini	e zi tebhis ini
ezithele	e zi thel e
ezithize	e zi thize
ezithombeni	e zi thomb eni
ezitolo	e zi tolo
ezitshela	e zi tshel a
ezivulela	e zi vul el a
eziwuchungechunge	e zi w u chungechunge
ezixoshile	e zi xosh ile
eziya	e zi y a
eziyikitazayo	e zi yi kitaz a yo
eziyimihelane	e zi y i mi helane
eziyizinhlobonhlobo	e zi yizinhlobonhlobo
ezobakhweza	e zo ba khwez a
ezobukhosi	e z o bu khosi
ezogwinya	e zo gwiny a
ezohamba	e zo hamb a
ezohlala	e zo hlal a
ezolala	e zo lal a
ezolimala	e zo limal a
ezongenwa	e zo ngen w a
ezophatha	e zo phath a
ezoqala	e zo qal a
ezoyenza	e zo y enz a
ezula	e zul a
ezwa	e zw a
ezwakale	e zw akal e
ezwe	e zw e
ezwile	e zw ile
fika	fik a
fiyo	fiyo
fumuka	fumuka
funa	fun a
futhalala	futhalal a
futhi	futhi
gaga	gaga
gama	gama
gazi	gazi
gebe	gebe
gege	gege
gegele	gegele
gogo	gogo
gombela	gomb el a
gozololo	gozololo
gqamu	gqamu
gula	gul a
gwababa	gwababa
habe	habe
hamba	hamb a
hawu	hawu
hayi	hayi
he	he
hebehamba	hebehamba
heqe	heqe
hha	hha
hhashi	hhashi
hhawu	hhawu
hhayi	hhayi
hhe	hhe
hhiya	hhiya
hho	hho
hiya	hiya
hlala	hlal a
hleze	hleze
hlobo	hlobo
ho	ho
horhagidgadi	horhagidgadi
hwalahwala	hwalahwala
i	i
iambulense	i ambulense
ibabonile	i ba bon ile
ibabuze	i ba buz e
ibalisa	i bal is a
ibambane	i bamb an e
ibangana	i bang an a
ibathole	i ba thol e
ibatshela	i ba tshel a
ibe	i b e
ibehlele	i be hlel e
ibemhlophe	i be mhlophe
ibhale	i bhal e
ibhalwe	i bhal w e
ibhasi	i bhasi
ibheda	i bhed a
ibheke	i bhek e
ibhekene	i bhek en e
ibhema	i bhem a
ibheshu	i bheshu
ibhodlela	i bhodlela
ibhola	i bhola
ibhubesi	i bhubesi
ibhuku	i bhuku
ibhungane	i bhungane
ibihlekiswa	i b i hlek is w a
ibingazange	i b i nga zange
ibiyini	i b i yi ni
ibiza	i biz a
ibizokufica	i b i zo ku fic a
iblekani	i blekani
ibona	i bon a
iboshwa	i bosh w a
ibuhlungu	i buhlungu
ibulale	i bulal e
ibulawe	i bulaw e
ibuthathephi	i bu thath e phi
ibuye	i buye
ibuyela	i buy el a
ibuza	i buz a
ibuze	i buz e
ibuzwa	i buz w a
icabanga	i cabang a
icala	i cala
icangcathwa	i cangcath w a
icebo	i ceb o
iceliwe	i cel iw e
ichaza	i chaz a
ichithwa	i chith w a
icime	i cim e
iconsa	i cons a
iculo	i cul o
idadamu	i dadamu
idala	i dal a
idale	i dal e
ididekile	i did ek ile
idla	i dl a
idlalwa	i dlal w a
idlandaba	i dl a n daba
idlangala	i dlangal a
idolobha	idolobha
iduku	i duku
idwala	i dwala
ifa	i f a
ifake	i fak e
ifenisha	i fenisha
ifezeke	i fez ek e
ifika	i fik a
ifike	i fik e
ifile	i f ile
ifiliji	i filiji
ifinyelela	i finyel el a
ifinyelele	i finyel el e
ifu	i fu
ifundelwe	i fund el w e
ifundwa	i fund w a
igabha	i gabh a
igama	i gama
igane	i gan e
igazi	i gazi
igceke	i gcek e
igcinekile	i gcin ek ile
igcinile	i gcin ile
igcwele	i gcwel e
igilo	i gilo
igolokodo	i golokodo
igundane	i gundane
iguquka	i guquk a
igwababa	i gwababa
igwala	i gwala
igxolo	i gxolo
igxumele	i gxum el e
ihamba	i hamb a
ihambe	i hamb e
ihambise	i hamb is e
ihhashi	i hhashi
ihlaba	i hlab a, i hlaba
ihlakaniphe	i hlakaniph e
ihlakaniphile	i hlakaniph ile
ihlakaniphise	i hlakaniph is e
ihlale	i hlal e
ihlangene	i hlangen e
ihlanze	i hlanz e
ihlaya	i hlaya
ihlazo	i hlaz o
ihlezi	i hlez i
ihlo	i hlo
ihlombe	i hlombe
ihlonipha	i hloniph a
ihlupha	i hluph a
ihluthule	i hluthul e
ihora	i hora
ihotela	i hotela
ijazana	i jaz ana
ijazi	i jazi
ijezi	i jezi
ijubane	i jubane
ijulukiswa	i juluk is w a
ikade	ikade
ikakhulu	i ka khulu
ikakhulukazi	i ka khulu kazi
ikamelo	i kamelo
ike	i ke
ikhala	i khal a, i khala
ikhale	i khal e
ikhanda	i khanda
ikhandlela	ikhandlela
ikhefu	i khefu
ikhehla	i khehla
ikhishi	ikhishi
ikhofi	i khofi
ikhona	i kho na
ikhulu	i khulu
ikhuluphele	i khuluphel e
ikhuphukela	i khuphuk el a
ikileku	i kileku
ikulo	i ku lo
ikumfowabo	i ku m fo wa bo
ikuphi	i ku phi
ikuthenga	i ku theng a
ikwakhe	i kw akh e
ilandelana	i landel an a
ilandelwa	i landel w a
ilanga	i langa
ilangabi	i langabi
ilaphaya	i laphaya
ilele	i lel e
ilema	i lema
ilendlu	i le n dlu
ileyo	i le y o
iliqhinga	i li qhing a
ilishwe	i li shwe
ilitheza	i li thez a
ilokho	i lo kh o
ilokhu	i lokhu
iloli	i loli
ilori	i lori
iltanze	iltanze
iluhlaza	i luhlaza
ilula	i lula
ilumbo	i lumb o
ilungile	i lung ile
ilungise	i lung is e
ima	i m a
imali	i mali
imbala	i m bala
imbeke	i m bek e
imbiza	i m biza
imbobo	i m bobo
imbokodo	i m bokodo
imbone	i m bon e
imbulumakhasana	i m bulu ma khas ana
imbulunga	i m bulunga
imbuyisela	i m buy is el a
imbuzi	i m buzi
imdedele	i m dedel e
ime	i m e
imenzakalise	i m enz akal is e
imeqa	i m eq a
imeqe	i m eq e
imfadukwe	i m fadukwe
imfiva	i m fiva
imfucumfucu	i m fucumfucu
imfucuza	i m fucuza
imfudlana	i m fudl ana
imfuyo	i m fuy o
imhlolela	i m hlol el a
imibhalo	i mi bhal o
imibuzo	i mi buz o
imicabango	i mi cabang o
imicibisholo	i mi cibisholo
imidati	i mi dati
imifula	i mi fula
imigqa	i mi gqa
imigwaqo	i mi gwaqo
imihla	i mi hla
imihlathi	i mi hlathi
imihlola	i mi hlola
imikhono	i mi khono
imikhonto	i mi khonto
imiklomelo	i mi klomel o
imilomo	i mi lomo
imimango	i mi mango
imina	i mi na
imindeni	i mi ndeni
iminingi	i mi ningi
imininingwane	i mi niningwane
iminyaka	i mi nyaka
iminyakana	i mi nyak ana
iminyovu	i mi nyovu
imisebe	i mi sebe
imisebenzi	i mi sebenz i
imithambo	i mi thambo
imithi	i mi thi
imithwalo	i mi thwal o
imizi	i mi zi
imizuzu	i mi zuzu
imkhombisa	i m khomb is a
imlandisa	i m land is a
imnandi	i mnandi
imoto	i moto
impahla	i m pahla
impambakwici	i m pambakwici
impela	impela
impendulo	i m pendul o
impesheni	i m pesheni
imphatha	i m phath a
imphendule	i m phendul e
impi	i m pi
impicabadala	i m pic a ba dala
impilo	i m pil o
impophoma	i m pophoma
impukane	i m pukane
impumelelo	i m pumelel o
imqhofoza	i m qhofoz a
imqoma	i m qom a
imshiye	i m shiy e
imthele	i m thel e
imthukuthelele	i m thukuthel el e
imtshele	i m tshel e
imumethe	i mumeth e
imuphe	i mu ph e
imuphi	i mu phi
imvelele	i m velel e
imvelo	i m vel o
imvimbezele	i m vimbezel e
imvula	i m vula
imvunulo	i m vunul o
imzalele	i m zal el e
ina	i n a
inamashumi	i n a ma shumi
incane	i ncane
inceku	i n ceku
incwadi	i n cwadi
indaba	i n daba
indangala	i n dangala
indawo	i n dawo
indebe	i n debe
indesheni	i n desheni
indima	i n dima
indishi	i n dishi
indiva	i n diva
indlamu	i n dlamu
indlela	i n dlela
indlovu	i n dlovu
indlovukazi	i n dlovu kazi
indlu	i n dlu
indoda	i n doda
indodakazi	i n doda kazi
indodana	i n dod ana
induku	i nduku
induna	i n duna
indwangu	i n dwangu
inebele	i n e bele
inesithunzi	i n e si thunzi
inetha	i neth a, i netha
inezesheli	i n e z e sheli
ineziqalekiso	i n e zi qal ek is o
ingabe	i nga b e
ingafundwa	i nga fund w a
ingafuni	i nga fun i
ingakufuni	i nga ku fun i
ingakukhathazi	i nga ku khathaz i
ingakwesikababa	i nga kw e sika baba
ingalibala	i nga libal a
ingamanga	i ng a ma nga
ingamashumi	i nga ma shumi
inganda	i n ganda
ingane	i n gane
ingani	i nga ni
ingasaphili	i nga sa phil i
ingase	i n gase
ingasekho	i nga se kho
ingasese	i nga se se
ingashiywa	i nga shiy w a
ingasho	i nga sho
ingasisiza	i nga si siz a
ingathi	i nga thi
ingatholwa	i nga thol w a
ingazi	i ng azi
ingcuphe	i n gcuphe
ingekho	i ng ekho
ingemukelwanga	i ng emukel w anga
ingena	i ngen a
ingenelwe	i ngen el w e
ingibangile	i ngi bang ile
ingonyama	i n go nyama
ingozi	i n gozi
ingqobe	i n gqobe
ingqondo	i n gqond o
ingubo	i n gubo
ingwadla	i n gwadla
ingxenye	i n gxenye
ingxoxo	i n gxox o
inhlamba	i n hlamba
inhlansi	i n hlansi
inhlinini	i n hlinini
inhliziyo	i n hliziyo
inhloko	i n hloko
inhloli	i n hlol i
inhlwathi	i n hlwathi
ini	i ni
iningi	i ningi
inja	i n ja
injani	i njani
injobo	i n jobo
inkabi	i n kabi
inkale	i n kale
inkani	i n kani
inkatha	i n katha
inkentshane	i n kentshane
inkinsela	i n kinsela
inkomana	i n kom ana
inkomo	i n komo
inkosi	i n kosi
inkosikazi	i n kosi kazi
inkulu	i n kulu
inkulumo	i n kulum o
inkungu	i n kungu
inkunzi	i n kunzi
inomkhuba	i n o m khuba
inqawe	i n qawe
inqola	i n qola
inqume	i nqum e
inselo	i n sel o
insika	i n sika
insimbi	i n simbi
insini	i n sini
insizwa	i n sizwa
insumansumane	i n sumansumane
intaka	i n taka
intaki	i n taki
intando	i n tand o
intekentekana	i n tekentek ana
inti	i n ti
into	i n to
intokazi	i n to kazi
intombazane	i n tomb az ane
intombi	i n tomb i
intoni	i n toni
intsha	i n tsha
intuthu	i n tuthu
inunu	i nunu
inxiwa	i nxiwa
inyakaza	i nyakaz a
inyaluka	i nyaluk a
inyama	i nyama
inyamalala	i nyamalal a
inyanda	i nyanda
inyanga	i nyanga
inzalo	i n zal o
inzondo	i n zond o
ipeni	i peni
iphakwe	i phak w e
iphambukile	i phambuk ile
iphawuleka	i phawul ek a
iphele	i phel e
iphendulwe	i phendul w e
iphethe	i pheth e
iphi	i phi
iphindela	i phind el a
iphindele	i phind el e
iphindiselwe	i phind is el w e
iphindiwe	i phind iw e
iphinifo	i phinifo
ipholela	i phol el a
iphoyisa	i phoyisa
iphuma	i phum a
iphume	i phum e
iphumule	i phumul e
iphupho	i phuph o
iphutha	i phutha
iphuza	i phuz a
iphuzu	i phuzu
iqale	i qal e
iqamba	i qamb a
iqedeke	i qed ek e
iqedelwe	i qed el w e
iqedile	i qed ile
iqembu	i qembu
iqhamuka	i qhamuk a
iqhikiza	i qhikiz a
iqhinga	i qhinga
iqhiyame	i qhiyam e
iqhubeke	i qhub ek e
iqhubekile	i qhub ek ile
iqhude	i qhude
iqinisile	i qinis ile
iqiniso	i qinis o
irandi	i randi
isaba	i sa b a
isabhaleka	i sa bhal ek a
isadukelwe	i sa dukel w e
isahluko	i s ahluk o
isalukazana	i s alukaz ana
isalukazi	i s alu kazi
isango	i sango
isangoma	i s angoma
isaphumile	i sa phum ile
isasidunge	i sa si dung e
isebenza	i sebenz a
isebenzisa	i sebenz is a
isebucayini	i se bucay ini
isehlukanise	i s ehluk an is e
iseka	i sek a
isemsebenzini	i se m sebenz ini
isencane	i se ncane
isende	i sende
isendlini	i se n dl ini
isenzo	i s enz o
isesidlekeni	i se si dlek eni
isezinyaweni	i se zi nyaw eni
ishadwe	i shad w e
ishaya	i shay a
ishaye	i shay e
ishayile	i shay ile
ishe	i sh e
isheshe	i shesh e
isheshise	i shesh is e
ishibhi	i shibhi
ishiseke	i shis ek e
ishiwo	i sh iw o
isho	i sho
ishunqa	i shunq a
ishwa	i shwa
isibaya	i si baya
isibhala	i s i bhal a
isibhedlela	i si bhedlela
isibhuklabhukla	i si bhukla bhukla
isibhunywana	i si bhunyw ana
isibindi	i si bindi
isibongo	i si bong o
isibuya	i s i buy a
isicabha	i si cabha
isichazamazwi	i si chaz a ma zw i
isidingo	i si ding o
isidleke	i si dleke
isidumbu	i si dumbu
isidumo	i si dumo
isifo	i si f o
isifuba	i si fuba
isifuna	i s i fun a
isifundo	i si fund o
isigaba	i si gaba
isigcino	i si gcin o
isigqabo	i si gqab o
isigqila	i si gqila
isigqoko	i si gqok o
isigubhukazi	i si gubhu kazi
isiguga	i si gug a
isiguqo	i si guq o
isihambile	i s i hamb ile
isihlahla	i si hlahla
isihlambi	i si hlamb i
isihlobo	i si hlobo
isihloma	i si hlom a
isihlwitha	i s i hlwith a
isijuluke	i s i juluk e
isikhala	i si khala
isikhathi	i si khathi
isikhulu	i si khulu
isikhulumi	i si khulumi
isikhumba	i si khumba
isikhwama	i si khwama
isikhwehlela	i si khwehlel a
isiko	i sik o
isilapha	isilapha
isilatini	i si latini
isilevu	i si levu
isilibonile	i s i li bon ile
isililo	i si lil o
isilima	i si lima
isilokhu	i s i lokhu
isiludwamba	i s i lu dwamba
isimame	i si mame
isimane	i s i mane
isimdunge	i s i m dung e
isimilamongo	i si mila mongo
isimilo	i si mil o
isimo	i si m o
isimongo	i si mongo
isingamjikijela	i s i nga m jikij el a
isingekho	i s i nge kho
isingili	i si ngili
isingisi	i si ngisi
isingixhela	i s i ngi xhel a
isinkwa	i si nkwa
isiphelile	i s i phel ile
isipho	i si ph o
isiphuku	i si phuku
isiphuzo	i si phuz o
isiqhwaga	i si qhwaga
isisasambana	i si sasambana
isishayelelo	i si shayelel o
isishwaphuluza	i si shwaphuluz a
isisu	i si su
isisusa	i si susa
isisuthu	i si suthu
isitembu	i si tembu
isitha	i si tha
isithandwa	i si thand w a
isithembu	i si thembu
isithukuthele	i si thukuthel e
isithunzi	i si thunzi
isithupha	i si thupha
isitimela	i si timela
isivini	i si vini
isivinini	i si vinini
isivuvu	i si vuvu
isixuku	i si xuku
isiya	i s i y a
isiyaze	i s i y az e
isiyaziwa	i s i y az iw a
isiye	i s i y e
isizengu	i si zengu
isiziwe	i siz iw e
isizulu	i si zulu
isizungu	i si zungu
isizwe	i si zwe
iso	i so
isoka	i soka
isondela	i sondel a
isondele	i sondel e
isonto	i sonto
israyeli	israyeli
isu	i su
isuka	i suk a
isuziwa	i suz iw a
itende	i tende
ithafa	i thafa
ithambo	i thambo
ithamo	i tham o
ithanda	i thand a
ithe	i th e
ithemba	i themb a
ithi	i thi
ithikithi	i thikithi
ithini	i thi ni
ithokozile	i thokoz ile
itholana	i thol an a
ithoshi	i thoshi
ithuba	i thuba
ithule	i thul e
ithululwa	i thulul w a
ithuna	i thun a
ithungathana	i thungath an a
itiye	i tiye
itoho	i toho
itshe	i tshe
ivale	i val e
ivela	i vel a
ivele	i vel e
ivimbekile	i vimb ek ile
ivuna	i vun a
iwami	i wa mi
iwanelisa	i w anel is a
iwaphihlizeka	i wa phihliz ek a
iwaphonse	i wa phons e
iwasekhaya	i wa se khaya
iwashi	i washi
iwaso	i wa so
iwe	i w e
iwempela	i w e mpela
iwesabatha	i w e sabatha
iweshumi	i w e shumi
iwesishiyagalombili	i w e si shiy a galo m bili
iwethusa	i w ethus a
iwezifundo	i w e zi fund o
ixhegu	i xhegu
ixinekile	i xin ek ile
ixoxwa	i xox w a
iya	i y a
iyabheda	i ya bhed a
iyabhuquza	i ya bhuquz a
iyabiza	i ya biz a
iyabona	i ya bon a
iyabonakala	i ya bon akal a
iyadliwa	i ya dl iw a, i ya dli w a
iyakhonkotha	i ya khonkoth a
iyakhuthaza	i ya khuthaz a
iyakumisa	i ya ku m is a
iyamila	i ya mil a
iyammela	i ya m m el a
iyamsiza	i ya m siz a
iyamthanda	i ya m thand a
iyamunyungwa	i ya munyung w a
iyangixaka	i ya ngi xak a
iyasetshenzelwa	i ya setshenz el w a
iyasheshisa	i ya shesh is a
iyaxaka	i ya xak a
iyayidinga	i ya yi ding a
iyazikhulumela	i ya zi khulum el a
iye	i y e
iyelapha	i y e lapha
iyesaba	i y esab a, i yesab a
iyibukele	i yi buk el e
iyingelosi	i y i n gelosi
iyini	i yi ni
iyinkosi	i y i n kosi
iyiqiniso	i y i qinis o
iyishiyile	i yi shiy ile
iyisisekelo	i y i si sekel o
iyivela	i yi vel a
iyivukele	i yi vuk el e
iyobasiza	i yo ba siz a
iyodwa	i yo dwa
iyofela	i yo fel a
iyoganela	i yo gan el a
iyokwethulwa	i yo kw ethul w a
iyolanda	i yo land a
iyona	i yo na
iyoqeda	i yo qed a
iyoqoma	i yo qom a
iyoshintsha	i yo shintsh a
iza	i z a
izaba	i z ab a
izambane	i z ambane
izambatho	i z ambath o
izandla	i z andla
ize	i z e, i ze
izelelesi	i z eleles i
izenzela	i z enz el a
izenzo	i z enz o
izibambe	i zi bamb e
izibhobo	i zi bhob o
izibondlo	i zi bondlo
izibonelo	i zi bon el o
iziboniso	i zi bon is o
iziboshwa	i zi bosh w a
izibuko	i zi buk o
izicathulo	i zi cathul o
izichwe	i zi chwe
izidlokolo	i zi dlokolo
izifele	i zi f el e
izifundo	i zi fund o
izigilamkhuba	i zi gila mkhuba
izigqoko	i zi gqok o
izihlahla	i zi hlahla
izihlalela	i zi hlal el a
izihlathi	i zi hlathi
izikelemu	i zi kelemu
izikhafu	i zi khafu
izikhali	i zi khali
izikhathi	i zi khathi
izikhonkwane	i zi khonkw ane
izikhumba	i zi khumba
izikhwama	i zi khwama
izikole	i zi kole
izilima	i zi lima
izilimi	i zi limi
izilwane	i zi lwane
izimakethe	i zi makethe
izimali	i zi mali
izimbangi	i zim bangi
izimbenge	i zim benge
izimbuzi	i zim buzi
izimfamona	i zim famona
izimfanelo	i zim fan el o
izimfologo	i zim fologo
izimfunda	i zim funda
izimoto	i zi moto
izimpahla	i zim pahla
izimpelasonto	i zim pel a sonto
izimpendulo	i zim pendul o
izimu	i zimu
izimvume	i zim vume
izincwad	i zin cwad
izincwadi	i zin cwadi
izindaba	i zin daba
izindawo	i zin dawo
izindlebe	i zin dlebe
izindleko	i zin dl ek o
izindlela	i zin dlela
izindonga	i zin donga
izinduku	i zin duku
izinduna	i zin duna
izindwani	i zin dwani
izinga	i zin ga
izingane	i zin gane
izingqomondo	i zin gqomondo
izingubo	i zin gubo
izingwe	i zin gwe
